grid,segment,order,angle_deg,cross_mm,truth_mm,measured_mm,error_mm,error_rel,n_points,resolved
acquired,0,7,0.0000,1.0124,10.0000,9.7520,-0.2480,-0.0248,5,1
acquired,5,2,35.0000,1.0374,1.3169,1.5290,0.2121,0.1611,7,0
acquired,6,1,70.0000,1.0784,0.8779,1.1990,0.3211,0.3657,4,0
acquired,8,2,73.7299,1.2289,1.3169,1.1990,-0.1179,-0.0895,6,0
acquired,16,4,0.0000,1.0124,2.9630,2.9260,-0.0370,-0.0125,2,1
acquired,17,3,35.0000,1.0374,1.9753,2.3570,0.3817,0.1932,1,1
acquired,19,3,35.0000,1.0374,1.9753,1.9980,0.0227,0.0115,1,1
acquired,20,2,0.0000,1.0124,1.3169,1.6560,0.3391,0.2575,4,0
acquired,23,2,70.0000,1.0784,1.3169,1.5290,0.2121,0.1611,6,0
acquired,26,3,35.0000,1.0374,1.9753,1.9980,0.0227,0.0115,2,1
acquired,28,3,35.0000,1.0374,1.9753,2.1860,0.2107,0.1067,1,1
acquired,29,2,70.0000,1.0784,1.3169,1.5290,0.2121,0.1611,6,0
acquired,32,2,0.0000,1.0124,1.3169,1.9980,0.6811,0.5172,6,0
acquired,35,4,70.0000,1.0784,2.9630,2.7970,-0.1660,-0.0560,2,1
acquired,39,4,70.0000,1.0784,2.9630,2.9260,-0.0370,-0.0125,2,1
acquired,40,3,75.0000,1.0820,1.9753,1.9980,0.0227,0.0115,1,1
acquired,42,3,75.0000,1.0820,1.9753,1.9980,0.0227,0.0115,1,1
acquired,43,2,70.0000,1.0784,1.3169,1.3640,0.0471,0.0358,6,0
acquired,46,2,40.0000,1.0438,1.3169,1.5290,0.2121,0.1611,5,0
acquired,49,3,35.0000,1.0374,1.9753,1.9980,0.0227,0.0115,1,1
acquired,51,3,35.0000,1.0374,1.9753,1.9980,0.0227,0.0115,1,1
acquired,52,2,0.0000,1.0124,1.3169,1.3640,0.0471,0.0358,6,0
acquired,54,1,35.0000,1.0970,0.8779,1.1990,0.3211,0.3657,2,0
acquired,55,2,70.0000,1.0784,1.3169,1.1990,-0.1179,-0.0895,6,0
acquired,58,7,0.0000,1.0124,10.0000,9.7520,-0.2480,-0.0248,5,1
acquired,59,6,35.0000,1.0970,6.6667,6.5370,-0.1297,-0.0194,3,1
acquired,63,1,63.2400,1.0841,0.8779,1.1990,0.3211,0.3657,2,0
